#------------------------------------------------- WARNING --------------------------------------------
# 
# The data you have obtained from this automated Natural Resources Conservation Service 
# database are subject to revision regardless of indicated Quality Assurance level. 
# Data are released on condition that neither the NRCS nor the United States Government 
# may be held liable for any damages resulting from its use. 
# 
# SNOTEL air temperature data contains a known bias. This bias is rooted in the sensor 
# conversion equation and varies through the output range. Solutions are in development. 
# For more information go to Air Temperature Bias Correction. 
# 
# Help and Tutorials: https://www.nrcs.usda.gov/sites/default/files/2023-03/Report%20Generator%20Help%20Guide.pdf
# Air Temperature Bias Correction: https://www.nrcs.usda.gov/wps/portal/wcc/home/snowClimateMonitoring/temperature/temperatureBiasCorrection/
# 
# Support Contact: usdafpacbc@servicenowservices.com
# 
#------------------------------------------------------------------------------------------------------
# 
# Reporting Frequency: Daily
# Date Range: 1981-01-01 to 2023-12-01
# Report Instantaneous Data As: Start of Day
#
# Data for the following site(s) are contained in this file:
#
#	SNOTEL 784: Palisades Tahoe, CA
# 
# Data items provided in this file:
#
# Element Name           Value Type  Function Type  Function Duration             Base Data  Measurement Units  Sensor Depth  Element Code  Description                                                                                        
# Snow Water Equivalent  Value       None           Instantaneous - Start of Day  N/A        Inches             N/A           WTEQ          Depth of water that would theoretically result if the entire snowpack were melted instantaneously  
# 
# Quality Control flags included:
#
# Flag    Name                Description
#  V      Valid               Validated Data
#  N      No Profile          No profile for automated validation
#  E      Edit                Edit, minor adjustment for sensor noise
#  B      Back Estimate       Regression-based estimate for homogenizing collocated Snow Course and Snow Pillow data sets
#  K      Estimate            Estimate
#  X      External Estimate   External estimate
#  S      Suspect             Suspect data
# 
# Quality Assurance flags included:
#
# Flag    Name                Description
#  U      Unknown             Unknown
#  R      Raw                 No Human Review
#  P      Provisional         Preliminary Human Review
#  A      Approved            Processing and Final Review Completed
# 
#------------------------------------------------------------------------------------------------------
# 
# Palisades Tahoe (784) 
# California  SNOTEL Site - 8013 ft
# Reporting Frequency: Daily; Date Range: 1981-01-01 to 2023-12-01
#
# As of: Dec 4, 2023, 1:14:02 AM GMT-08:00
#
Year,Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values,Snow Water Equivalent (in) Start of Month Values
1981,01,6.8,19.8,25.8,37.3,23.6,0.0,0.0,0.0,0.0,0.0,4.8,16.0
1981,02,6.9,19.8,26.2,37.8,21.5,0.0,0.0,0.0,0.0,0.0,4.8,16.3
1981,03,7.4,20.5,26.2,37.9,21.5,0.0,0.0,0.0,0.0,0.0,4.8,16.3
1981,04,7.4,20.8,26.2,38.1,21.5,0.0,0.0,0.0,0.0,0.0,4.8,16.3
1981,05,8.2,20.8,26.6,38.4,18.8,0.0,0.0,0.0,0.0,0.0,4.7,15.9
1981,06,8.4,20.8,26.9,37.5,18.5,0.0,0.0,0.0,0.0,0.0,4.6,16.3
1981,07,8.4,20.9,26.9,38.0,18.2,0.0,0.0,0.0,0.0,0.0,4.6,16.3
1981,08,8.6,20.9,26.9,37.9,17.7,0.0,0.0,0.0,0.0,0.5,4.6,16.3
1981,09,8.6,21.1,26.9,37.8,15.5,0.0,0.0,0.0,0.0,0.2,4.4,16.3
1981,10,8.6,21.1,26.9,37.7,15.1,0.0,0.0,0.0,0.0,0.0,4.4,16.6
1981,11,8.7,21.1,27.3,37.6,12.8,0.0,0.0,0.0,0.0,0.7,4.4,16.6
1981,12,8.9,21.3,27.3,37.6,12.5,0.0,0.0,0.0,0.0,1.1,4.4,17.6
1981,13,8.9,21.5,27.3,37.5,11.4,0.0,0.0,0.0,0.0,1.1,7.7,19.1
1981,14,8.9,23.1,27.3,37.3,9.8,0.0,0.0,0.0,0.0,1.1,8.6,19.3
1981,15,8.9,23.1,27.6,36.6,8.7,0.0,0.0,0.0,0.0,1.1,9.0,20.0
1981,16,8.9,23.1,27.9,35.6,8.6,0.0,0.0,0.0,0.0,1.1,9.1,21.3
1981,17,8.9,23.1,27.9,35.0,8.6,0.0,0.0,0.0,0.0,1.1,9.5,21.6
1981,18,9.5,23.1,28.0,34.0,7.6,0.0,0.0,0.0,0.0,1.1,9.5,21.6
1981,19,9.6,23.1,28.7,33.8,8.7,0.0,0.0,0.0,0.0,1.1,9.5,20.6
1981,20,9.6,23.1,30.0,34.0,8.7,0.0,0.0,0.0,0.0,1.1,9.3,22.0
1981,21,9.6,23.1,30.9,34.0,8.5,0.0,0.0,0.0,0.0,1.0,9.3,23.3
1981,22,9.6,23.1,31.5,33.7,8.6,0.0,0.0,0.0,0.0,1.0,12.6,23.8
1981,23,9.9,23.1,31.5,32.7,8.0,0.0,0.0,0.0,0.0,0.8,13.4,24.0
1981,24,10.3,23.1,31.5,30.6,6.4,0.0,0.0,0.0,0.0,0.7,13.9,24.6
1981,25,10.3,25.0,31.6,28.5,5.2,0.0,0.0,0.0,0.0,0.7,13.9,25.1
1981,26,10.3,25.4,34.4,28.5,3.7,0.0,0.0,0.0,0.0,0.0,13.9,25.1
1981,27,12.9,25.6,35.1,28.5,2.2,0.0,0.0,0.0,0.0,0.0,14.7,26.2
1981,28,16.5,25.8,35.2,28.5,1.3,0.0,0.0,0.0,0.0,1.9,15.5,27.0
1981,29,19.1,,35.5,27.3,0.0,0.0,0.0,0.0,0.0,4.5,15.6,27.4
1981,30,19.4,,35.8,25.9,0.0,0.0,0.0,0.0,0.0,4.5,15.7,30.3
1981,31,19.4,,36.4,,0.0,,0.0,0.0,,4.6,,31.0
1982,01,34.3,50.4,58.0,82.7,87.3,56.1,15.2,0.0,0.0,0.4,2.9,18.1
1982,02,35.5,50.8,59.4,83.2,87.2,55.9,13.5,0.0,0.0,0.0,2.9,18.1
1982,03,36.5,50.9,61.1,86.5,85.3,55.3,12.0,0.0,0.0,0.0,2.9,18.1
1982,04,37.6,50.9,61.2,88.3,85.0,53.5,10.5,0.0,0.0,0.0,2.9,18.1
1982,05,43.2,50.9,61.3,89.4,83.2,53.7,8.7,0.0,0.0,0.0,2.9,18.1
1982,06,44.4,51.0,61.3,90.4,82.1,53.5,6.8,0.0,0.0,0.1,2.9,18.3
1982,07,44.4,51.0,62.0,90.5,81.3,52.0,2.9,0.0,0.0,0.0,2.8,18.3
1982,08,44.4,51.3,62.2,90.5,80.7,51.4,0.4,0.0,0.0,0.1,2.7,18.3
1982,09,44.4,51.3,62.2,90.8,78.8,50.6,0.0,0.0,0.0,0.3,3.4,18.5
1982,10,44.4,51.4,62.5,90.8,79.0,49.0,0.0,0.0,0.0,0.2,4.1,18.8
1982,11,44.4,51.5,64.7,90.8,79.1,46.7,0.0,0.0,0.0,0.1,4.1,18.8
1982,12,44.4,51.7,65.4,87.6,79.1,45.3,0.0,0.0,0.0,0.0,4.1,18.8
1982,13,44.3,52.3,65.8,88.7,78.6,44.2,0.0,0.0,0.0,0.0,4.2,19.8
1982,14,44.3,57.3,66.3,89.9,78.2,43.1,0.0,0.0,0.0,0.0,4.2,19.8
1982,15,43.8,58.4,67.1,92.0,77.1,41.4,0.0,0.0,0.0,0.0,4.2,19.8
1982,16,43.8,59.0,67.5,92.1,76.4,39.0,0.0,0.0,0.0,0.0,4.2,19.6
